Country Code,Country,2022 (%),2024 (%)
AL,Albania,98.44,98.15
AT,Austria,93.15,94.96
BA,Bosnia and Herzegovina,,84.19
BE,Belgium,94.44,94.62
BG,Bulgaria,87.31,92.12
CY,Cyprus,94.00,94.92
CZ,Czechia,91.48,94.56
DE,Germany,91.41,92.65
DK,Denmark,95.16,96.92
EE,Estonia,92.41,92.89
EL,Greece,85.49,86.89
ES,Spain,96.08,96.83
EU27_2020,European Union - 27 countries (from 2020),92.44,94.19
FI,Finland,97.59,97.35
FR,France,92.25,94.44
HR,Croatia,85.52,88.37
HU,Hungary,91.44,94.78
IE,Ireland,,92.97
IT,Italy,91.45,93.41
LT,Lithuania,87.71,90.38
LU,Luxembourg,97.64,98.84
LV,Latvia,91.39,94.33
ME,Montenegro,80.96,84.50
MK,North Macedonia,,90.81
MT,Malta,93.39,95.58
NL,Netherlands,98.28,99.04
NO,Norway,99.01,98.10
PL,Poland,93.33,95.89
PT,Portugal,88.15,90.60
RO,Romania,89.41,94.57
RS,Serbia,83.24,88.85
SE,Sweden,94.33,95.43
SI,Slovenia,92.60,94.13
SK,Slovakia,90.65,90.54
TR,Türkiye,94.15,96.45
