Country,Remote_Work_2022,Remote_Work_2024,Internet_Access_2022,Internet_Access_2024,Remote_Work_Change,Internet_Access_Change,Remote_Work_Trend
Finland,78.5,84.54,97.59,97.35,6.04,-0.24,Growth
Norway,76.96,80.46,99.01,98.1,3.5,-0.91,Growth
Sweden,79.44,79.07,94.33,95.43,-0.37,1.1,Stable
Denmark,78.0,78.46,95.16,96.92,0.46,1.76,Stable
Belgium,63.49,70.06,94.44,94.62,6.57,0.18,Growth
Malta,68.3,68.25,93.39,95.58,-0.05,2.19,Stable
Netherlands,60.88,61.4,98.28,99.04,0.52,0.76,Stable
Germany,60.45,61.03,91.41,92.65,0.58,1.24,Stable
Cyprus,59.03,59.14,94.0,94.92,0.11,0.92,Stable
Luxembourg,54.29,58.6,97.64,98.84,4.31,1.2,Growth
Estonia,47.71,57.71,92.41,92.89,10.0,0.48,Growth
Ireland,63.66,57.56,,92.97,-6.1,,Decline
Spain,50.68,55.09,96.08,96.83,4.41,0.75,Growth
Portugal,47.72,53.9,88.15,90.6,6.18,2.45,Growth
European Union - 27 countries (from 2020),49.98,52.9,92.44,94.19,2.92,1.75,Growth
Austria,49.51,52.19,93.15,94.96,2.68,1.81,Growth
Montenegro,40.73,49.39,80.96,84.5,8.66,3.54,Growth
Italy,44.35,48.19,91.45,93.41,3.84,1.96,Growth
Poland,36.78,46.94,93.33,95.89,10.16,2.56,Growth
Czechia,42.04,46.6,91.48,94.56,4.56,3.08,Growth
France,43.93,46.16,92.25,94.44,2.23,2.19,Growth
Slovenia,46.18,45.92,92.6,94.13,-0.26,1.53,Stable
Serbia,40.99,43.24,83.24,88.85,2.25,5.61,Growth
Lithuania,38.35,42.07,87.71,90.38,3.72,2.67,Growth
Greece,32.94,41.93,85.49,86.89,8.99,1.4,Growth
Croatia,39.86,40.93,85.52,88.37,1.07,2.85,Growth
Slovakia,35.23,39.13,90.65,90.54,3.9,-0.11,Growth
Türkiye,30.43,35.19,94.15,96.45,4.76,2.3,Growth
Romania,31.2,34.88,89.41,94.57,3.68,5.16,Growth
Latvia,38.59,33.98,91.39,94.33,-4.61,2.94,Decline
Hungary,29.41,33.52,91.44,94.78,4.11,3.34,Growth
Bulgaria,28.25,32.43,87.31,92.12,4.18,4.81,Growth
Bosnia and Herzegovina,34.11,31.34,,84.19,-2.77,,Decline
North Macedonia,37.9,,,90.81,,,Unknown
Albania,37.72,,98.44,98.15,,-0.29,Unknown
